"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,0,4.23,"to-read, ya",to-read,0,
"Day 21 (The 100, #2)",Kass Morgan,0,3.73,"to-read, ya",to-read,0,
Shortchanged: How Advanced Placement Cheats Students,Annie Abrams,0,5,"to-read, remove",to-read,0,
"National Geographic Photo Ark Insects: Butterflies, Bees, and Kindred Creatures (The Photo Ark)",Joel Sartore,0,4.33,"to-read, remove",to-read,0,
Secrets of the Elephants,Paula Kahumbu,0,5,"to-read, remove",to-read,0,
"National Dish: Around the World in Search of Food, History, and the Meaning of Home",Anya von Bremzen,0,4.57,"to-read, remove",to-read,0,
Disney and Pixar's Turning Red: 4*Town 4*Real: The Manga (Disney Pixar Turning Red: 4*Town 4*Real),Dirchansky,0,4.4,"to-read, remove",to-read,0,
After Anne,Logan Steiner,0,4.3,"to-read, remove",to-read,0,
No One Is Too Small to Make a Difference,Greta Thunberg,0,3.88,"to-read, bio",to-read,0,
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,0,4.37,"currently-reading, cooking",currently-reading,7,
The How Can It Be Gluten-Free Cookbook Volume 2,America's Test Kitchen,0,4.57,"to-read, cooking",to-read,0,
The How Can It Be Gluten Free Cookbook: Revolutionary Techniques. Groundbreaking Recipes.,America's Test Kitchen,0,4.38,"to-read, cooking",to-read,0,
"The Allergy-Free Pantry: Make Your Own Staples, Snacks, and More Without Wheat, Gluten, Dairy, Eggs, Soy or Nuts",Colette Martin,0,3.92,"to-read, cooking",to-read,0,
Mind over Batter: 75 Recipes for Baking as Therapy,Jack Hazan,0,4.61,"to-read, cooking, remove",to-read,0,
The Book of Cocktail Ratios: The Surprising Simplicity of Classic Cocktails (2) (Ruhlman's Ratios),Michael Ruhlman,0,4.5,"to-read, cooking, remove",to-read,0,
"Minecraft: Gather, Cook, Eat! Official Cookbook (Gaming)",Tara Theoharis,0,4.67,"to-read, cooking, remove",to-read,0,
"Southern Cocktails: Storied Sips, Snacks, and Barkeep Tips",The Editors of Southern Living,0,4.67,"to-read, cooking, remove",to-read,0,
I'm So Effing Hungry: Why We Crave What We Crave – and What to Do About It,Amy Shah,0,3.71,"to-read, cooking, remove",to-read,0,
"The Unofficial Dollywood Cookbook: From Frannie's Famous Fried Chicken Sandwiches to Grist Mill Cinnamon Bread, 100 Delicious Dollywood-Inspired Recipes! (Unofficial Cookbook)",Erin K. Browne,0,4.44,"to-read, cooking, remove",to-read,0,
The Last Thing He Told Me,Laura Dave,0,3.86,"to-read, fiction, remove",to-read,0,
The True Love Experiment,Christina Lauren,0,4.46,"to-read, fiction, remove",to-read,0,
Uncommon Type,Tom Hanks,0,3.43,"to-read, fiction, remove",to-read,0,
The Life Council: 10 Friends Every Woman Needs,Laura Tremaine,0,4.21,"to-read, personal-growth, remove",to-read,0,
Without Children: The Long History of Not Being a Mother,Peggy O'Donnell Heffington,0,3.58,"to-read, else, remove",to-read,0,
Claim Your Confidence: Unlock Your Superpower and Create the Life You Want,Lydia Fenet,0,4.25,"to-read, personal-growth, remove",to-read,0,
The Do-Over,Suzanne Park,0,3.57,"to-read, remove",to-read,0,
The Skin and Its Girl,Sarah Cypher,0,3.77,"to-read, remove",to-read,0,
We Are Too Many: A Memoir [Kind of],Hannah Pittard,0,4.08,"to-read, remove",to-read,0,
Before the Streetlights Come On: Black America’s Urgent Call for Climate Solutions,Heather McTeer Toney,0,5,"to-read, remove",to-read,0,
The Anxious Achiever: Turn Your Biggest Fears into Your Leadership Superpower,Morra Aarons-Mele,0,4.33,"to-read, remove",to-read,0,
The Collected Peter Pan,J.M. Barrie,0,4.52,"to-read, remove",to-read,0,
"Yours Truly (Part of Your World, #2)",Abby Jimenez,0,4.54,"to-read, remove",to-read,0,
"Embodied Activism: Engaging the Body to Cultivate Liberation, Justice, and Authentic Connection--A Practical Guide for Transformative Social Change",Rae Johnson,0,3.67,"to-read, remove",to-read,0,
"Deconstructing the Fitness Industrial Complex: How to Resist, Disrupt, and Reclaim What It Means to Be Fit in American Culture",Justice Roe Williams,0,4.33,"to-read, remove",to-read,0,
Bear With Me Now,Katie   Shepard,0,3.63,"to-read, remove",to-read,0,
My Life So Far,Jane Fonda,0,4.01,bio,read,100,
The Time Traveler's Wife,Audrey Niffenegger,0,3.99,"to-read, fiction",to-read,0,
Oranges Are Not the Only Fruit,Jeanette Winterson,0,3.73,"to-read, fiction",to-read,0,
"For You and Only You (You, #4)",Caroline Kepnes,0,3.53,"to-read, fiction",to-read,0,
"You Love Me (You, #3)",Caroline Kepnes,0,3.69,"to-read, fiction",to-read,0,
"You (You, #1)",Caroline Kepnes,0,3.95,"to-read, fiction",to-read,0,
"Hidden Bodies (You, #2)",Caroline Kepnes,0,3.74,"to-read, fiction",to-read,0,
Pageboy,Elliot Page,0,4.24,"to-read, bio",to-read,0,
You Could Make This Place Beautiful,Maggie  Smith,0,4.46,"to-read, bio",to-read,0,
The Curious Incident of the Dog in the Night-Time,Mark Haddon,0,3.89,"to-read, fiction",to-read,0,
"An Indigenous Peoples' History of the United States (ReVisioning American History, #3)",Roxanne Dunbar-Ortiz,0,4.37,"to-read, theory",to-read,0,
Spirits of Our Whaling Ancestors: Revitalizing Makah and Nuu-chah-nulth Traditions,Charlotte Coté,0,4.21,"to-read, theory",to-read,0,
"Salmon and Acorns Feed Our People: Colonialism, Nature, and Social Action (Nature, Society, and Culture)",Kari Marie Norgaard,0,4.06,"to-read, theory",to-read,0,
The Year of Magical Thinking,Joan Didion,0,3.93,to-read,to-read,0,
The Grapes of Wrath,John Steinbeck,0,4,classic,read,100,
Jane Eyre,Charlotte Brontë,0,4.14,classic,read,100,
Everyone's Table: Global Recipes for Modern Health,Gregory Gourdet,0,4.37,"to-read, cooking",to-read,0,
Little Women,Louisa May Alcott,0,4.14,classic,read,100,
The Picture of Dorian Gray,Oscar Wilde,0,4.12,classic,read,100,
The Outsiders,S.E. Hinton,4,4.12,classic,read,100,
Life of Pi,Yann Martel,3,3.93,classic,read,100,
The Great Gatsby,F. Scott Fitzgerald,4,3.93,classic,read,100,
The Book Thief,Markus Zusak,5,4.39,classic,read,100,
To Kill a Mockingbird,Harper Lee,3,4.27,classic,read,100,
"Cannelle et Vanille: Nourishing, Gluten-Free Recipes for Every Meal and Mood",Aran Goyoaga,0,4.4,"to-read, cooking",to-read,0,
Cannelle et Vanille Bakes Simple: A New Way to Bake Gluten-Free,Aran Goyoaga,0,4.63,"to-read, cooking",to-read,0,
The Gluten-Free Cookbook: 350 delicious and naturally gluten-free recipes from more than 80 countries,Cristian Broglia,0,4.04,"to-read, cooking",to-read,0,
Gluten-Free on a Shoestring: 125 Easy Recipes for Eating Well on the Cheap,Nicole Hunn,0,3.99,"to-read, cooking",to-read,0,
"How to Make Anything Gluten-Free: Over 100 recipes for everything from home comforts to fakeaways, cakes to dessert, brunch to bread!",Becky Excell,0,4.67,"to-read, cooking",to-read,0,
"Gluten-Free for Good: Simple, Wholesome Recipes Made from Scratch",Samantha Seneviratne,0,4.15,"to-read, cooking",to-read,0,
Gluten-Free Artisan Bread in Five Minutes a Day,Jeff Hertzberg,0,4.27,"to-read, cooking",to-read,0,
"Sweet Laurel Savory: Everyday Decadence for Whole-Food, Grain-Free Meals: A Cookbook",Laurel Gallucci,0,3.95,"to-read, cooking",to-read,0,
"Sweet Laurel: Recipes for Whole Food, Grain-Free Desserts: A Baking Book",Laurel Gallucci,0,4.4,"to-read, cooking",to-read,0,
Alternative Baker: Reinventing Dessert with Gluten-Free Grains and Flours,Alanna Taylor-Tobin,0,4.22,"to-read, cooking",to-read,0,
Half Baked Harvest Cookbook: Recipes from My Barn in the Mountains,Tieghan Gerard,0,4.32,"to-read, cooking",to-read,0,
"Half Baked Harvest Every Day: Recipes for Balanced, Flexible, Feel-Good Meals",Tieghan Gerard,0,4.42,"to-read, cooking",to-read,0,
The Food Lab: Better Home Cooking Through Science,J. Kenji López-Alt,0,4.25,"to-read, cooking",to-read,0,
Dessert Person: Recipes and Guidance for Baking with Confidence: A Baking Book,Claire Saffitz,0,3.85,"to-read, cooking",to-read,0,
"The Flavor Bible: The Essential Guide to Culinary Creativity, Based on the Wisdom of America's Most Imaginative Chefs",Andrew Dornenburg,0,4.01,"to-read, cooking",to-read,0,
The Diary of a Young Girl,Anne Frank,0,4.18,bio,read,100,
Normal People,Sally Rooney,0,3.81,to-read,to-read,0,
The Anthropocene Reviewed,John Green,0,4.37,bio,read,100,
"Mixtape Potluck Cookbook: A Dinner Party for Friends, Their Recipes, and the Songs They Inspire","Ahmir ""Questlove"" Thompson",0,3.75,"to-read, cooking",to-read,0,
Eat What You Watch: A Cookbook for Movie Lovers,Andrew Rea,0,4.24,"to-read, cooking",to-read,0,
The Unqualified Hostess: I do it my way so you can too!,Whoopi Goldberg,0,3.99,"to-read, cooking",to-read,0,
The Art of the Bar Cart: Styling & Recipes,Vanessa Dina,0,4.03,"to-read, cooking",to-read,0,
The Art of Gathering: How We Meet and Why It Matters,Priya Parker,0,4.01,"to-read, personal-growth",to-read,0,
"Tarot of the Divine: A Deck and Guidebook Inspired by Deities, Folklore, and Fairy Tales from Around the World: Tarot Cards",Yoshi Yoshitani,0,4.72,to-read,to-read,0,
Tarot of the Divine Handbook: A Guide to Understanding Tarot Symbolism,Yoshi Yoshitani,0,4,to-read,to-read,0,
"Beneath the Moon: Fairy Tales, Myths, and Divine Stories from Around the World",Yoshi Yoshitani,0,4.21,to-read,to-read,0,
See You on Sunday: A Cookbook for Family and Friends,Sam Sifton,0,3.9,"to-read, cooking",to-read,0,
Sunday Suppers: Recipes + Gatherings: A Cookbook,Karen Mordechai,0,3.68,"to-read, cooking",to-read,0,
Batch Cocktails: Make-Ahead Pitcher Drinks for Every Occasion,Maggie Hoffman,0,4.07,"to-read, cooking",to-read,0,
Graze: Inspiration for Small Plates and Meandering Meals: A Charcuterie Cookbook,Suzanne Lenzer,0,3.55,"cooking, to-read",to-read,0,
The Maid,Nita Prose,0,3.82,"to-read, fiction",to-read,0,
Daisy Jones & the Six,Taylor Jenkins Reid,0,4.24,"to-read, fiction",to-read,0,
Spare,Prince Harry,0,3.97,"to-read, bio",to-read,0,
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,0,3.96,"to-read, personal-growth",to-read,0,
Recipe for Disaster: 40 Superstar Stories of Sustenance and Survival,Alison Riley,0,3.38,"to-read, cooking",to-read,0,
Cooking with Shereen―Rockstar Dinners!,Shereen Pavlides,0,4.5,"to-read, cooking",to-read,0,
20-40-60-Minute Dinners: Meals to Match the Time You Have,Kate Otterstrom,0,3.58,"to-read, cooking",to-read,0,
"For The Culture: Phenomenal Black Women and Femmes in Food: Interviews, Inspiration, and Recipes",Klancy Miller,0,0,"to-read, cooking",to-read,0,
"The Flavor Thesaurus: More Flavors: Plant-Led Pairings, Recipes, and Ideas for Cooks",Niki Segnit,0,3.88,"to-read, cooking",to-read,0,
White Tears/Brown Scars: How White Feminism Betrays Women of Color,Ruby Hamad,0,4.57,"to-read, theory",to-read,0,
The Office BFFs: Tales of The Office from Two Best Friends Who Were There,Jenna Fischer,0,4.25,"to-read, bio",to-read,0,
Becoming,Michelle Obama,0,4.48,"to-read, bio",to-read,0,
A Promised Land,Barack Obama,0,4.35,"to-read, bio",to-read,0,
I'm Glad My Mom Died,Jennette McCurdy,0,4.52,"to-read, bio",to-read,0,
Born a Crime: Stories From a South African Childhood,Trevor Noah,0,4.49,"to-read, bio",to-read,0,
Crying in H Mart,Michelle Zauner,0,4.29,"to-read, bio",to-read,0,
We Should All Be Feminists,Chimamanda Ngozi Adichie,0,4.41,theory,read,100,
Gordon Ramsay's Ultimate Cookery Course,Gordon Ramsay,0,4.26,"to-read, cooking",to-read,0,
Cooking Like a Master Chef: 100 Recipes to Make the Everyday Extraordinary,Graham Elliot,0,3.72,"to-read, cooking",to-read,0,
Cook Real Hawai'i: A Cookbook,Sheldon Simeon,0,4.4,"to-read, cooking",to-read,0,
"Chinese Heritage Cooking From My American Kitchen: Discover Authentic Flavors with Vibrant, Modern Recipes",Shirley Chung,0,3.85,"to-read, cooking",to-read,0,
So Good: 100 Recipes from My Kitchen to Yours,Richard Blais,0,3.42,"to-read, cooking",to-read,0,
Hangover Helper: Delicious Cures from Around the World,Lauren Shockey,0,4.14,cooking,read,100,
"Mocktail Party: 75 Plant-Based, Non-Alcoholic Recipes for Every Occasion",Kerry Benson,0,4.14,"to-read, cooking",to-read,0,
"Floral Libations: 41 Fragrant Drinks + Ingredients (Flower Cocktails, Non-Alcoholic and Alcoholic Mixed Drinks and Mocktails Recipe Book)",Cassie Winslow,0,4.05,"to-read, cooking",to-read,0,
Braiding Sweetgrass,Robin Wall Kimmerer,0,4.56,"to-read, theory",to-read,0,
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,0,3.95,"to-read, personal-growth",to-read,0,
"Set Boundaries, Find Peace: A Guide to Reclaiming Yourself",Nedra Glover Tawwab,0,4.31,"to-read, personal-growth",to-read,0,
Cooking with Trader Joe's Cookbook: 5-Ingredient Cookbook,Deana Gunn,0,3.88,cooking,read,100,
Cooking with All Things Trader Joe's Cookbook,Deana Gunn,0,3.59,cooking,read,100,
"The Essential,Cookbook: Classic Recipes for a New Century",Amanda Hesser,0,4.12,cooking,read,100,
milk and honey,Rupi Kaur,4,4,poetry,read,100,
All About Love: New Visions,bell hooks,0,4.09,"to-read, theory",to-read,0,
